TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"3";"prepare-workdir-structure";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen /tmp/makbet/examples/02.toolchain-complex/git /tmp/makbet/examples/02.toolchain-complex/kcov /tmp/makbet/examples/02.toolchain-complex/make /tmp/makbet/examples/02.toolchain-complex/python";"2020-08-31 21:48:38.033310759";"STARTED";
"3";"prepare-workdir-structure";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen /tmp/makbet/examples/02.toolchain-complex/git /tmp/makbet/examples/02.toolchain-complex/kcov /tmp/makbet/examples/02.toolchain-complex/make /tmp/makbet/examples/02.toolchain-complex/python";"2020-08-31 21:48:38.054356115";"TERMINATED";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_19.zip";"2020-08-31 21:48:38.141726265";"STARTED";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_19.zip";"2020-08-31 21:48:42.043051029";"TERMINATED";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.28.0.zip /tmp/makbet/examples/02.toolchain-complex/git/v2.28.0.zip";"2020-08-31 21:48:42.391262474";"STARTED";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.28.0.zip /tmp/makbet/examples/02.toolchain-complex/git/v2.28.0.zip";"2020-08-31 21:48:49.792380056";"TERMINATED";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/38.zip";"2020-08-31 21:48:50.385688719";"STARTED";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/38.zip";"2020-08-31 21:48:51.443119395";"TERMINATED";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz";"2020-08-31 21:48:51.671007078";"STARTED";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz";"2020-08-31 21:48:54.465667900";"TERMINATED";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b5.tar.xz";"2020-08-31 21:48:54.735835827";"STARTED";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b5.tar.xz";"2020-08-31 21:49:05.587864627";"TERMINATED";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/";"2020-08-31 21:48:42.132804898";"STARTED";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/";"2020-08-31 21:48:42.301911537";"TERMINATED";
